home_win,home_hitting_runs,home_hitting_homeRuns,home_hitting_avg,home_hitting_obp,home_hitting_slg,home_hitting_ops,home_hitting_strikeOuts,home_hitting_stolenBases,home_pitching_era,home_pitching_whip,home_pitching_strikeoutsPer9Inn,home_pitching_walksPer9Inn,home_pitching_hitsPer9Inn,home_pitching_homeRunsPer9,home_fielding_fielding,home_fielding_errors,home_leader_home_runs,home_leader_rbi,home_leader_batting_average,home_leader_era,home_leader_strikeouts,home_leader_pitcher_wins,away_hitting_runs,away_hitting_homeRuns,away_hitting_avg,away_hitting_obp,away_hitting_slg,away_hitting_ops,away_hitting_strikeOuts,away_hitting_stolenBases,away_pitching_era,away_pitching_whip,away_pitching_strikeoutsPer9Inn,away_pitching_walksPer9Inn,away_pitching_hitsPer9Inn,away_pitching_homeRunsPer9,away_fielding_fielding,away_fielding_errors,away_leader_home_runs,away_leader_rbi,away_leader_batting_average,away_leader_era,away_leader_strikeouts,away_leader_pitcher_wins
0,784.0,198.0,0.257,0.325,0.425,0.75,1370.0,148.0,3.85,1.24,8.94,2.77,8.35,1.13,0.986,85.0,97.0,104.0,0.234,3.46,886.0,16.0,693.0,177.0,0.239,0.305,0.396,0.701,1452.0,68.0,4.1,1.3,9.01,3.3,8.41,0.96,0.985,87.0,98.0,78.0,0.248,3.86,902.0,13.0
1,604.0,147.0,0.23,0.302,0.366,0.668,1485.0,178.0,3.77,1.2,8.78,2.78,8.03,1.22,0.984,90.0,113.0,65.0,0.231,3.83,737.0,8.0,751.0,194.0,0.252,0.319,0.423,0.742,1570.0,144.0,4.04,1.26,8.38,2.86,8.44,1.17,0.981,115.0,121.0,83.0,0.251,4.41,792.0,14.0
1,815.0,237.0,0.248,0.333,0.429,0.762,1326.0,88.0,3.74,1.24,9.03,3.3,7.88,1.12,0.984,93.0,120.0,144.0,0.233,3.79,877.0,16.0,735.0,170.0,0.248,0.306,0.403,0.709,1161.0,134.0,3.76,1.24,8.44,2.97,8.21,0.92,0.985,85.0,78.0,109.0,0.241,3.42,716.0,16.0
0,671.0,156.0,0.241,0.313,0.389,0.702,1233.0,72.0,4.29,1.27,8.29,3.17,8.3,1.31,0.984,92.0,113.0,103.0,0.239,4.21,701.0,16.0,704.0,213.0,0.243,0.309,0.415,0.724,1461.0,69.0,3.49,1.2,9.68,2.8,7.96,0.94,0.988,68.0,85.0,104.0,0.243,3.85,713.0,18.0
0,742.0,183.0,0.246,0.315,0.411,0.726,1306.0,65.0,4.26,1.23,9.37,2.71,8.33,1.19,0.988,70.0,98.0,71.0,0.241,4.17,759.0,15.0,768.0,207.0,0.246,0.319,0.415,0.734,1382.0,106.0,3.96,1.26,9.08,3.66,7.69,1.03,0.984,94.0,83.0,91.0,0.215,3.48,767.0,12.0
0,777.0,177.0,0.248,0.326,0.403,0.729,1459.0,217.0,3.65,1.23,8.55,3.07,8.02,1.22,0.985,89.0,139.0,112.0,0.234,3.47,1031.0,12.0,682.0,162.0,0.234,0.3,0.385,0.685,1461.0,76.0,3.61,1.16,8.42,2.59,7.87,0.99,0.986,80.0,79.0,74.0,0.222,3.32,736.0,18.0
1,672.0,165.0,0.248,0.312,0.392,0.704,1318.0,91.0,4.04,1.26,8.15,2.83,8.5,1.08,0.987,75.0,65.0,78.0,0.228,3.84,485.0,13.0,740.0,190.0,0.262,0.322,0.418,0.74,1176.0,93.0,3.74,1.24,9.3,3.42,7.78,1.15,0.985,84.0,106.0,86.0,0.226,3.72,909.0,15.0
1,760.0,190.0,0.263,0.324,0.42,0.744,1077.0,120.0,3.86,1.22,9.09,2.89,8.1,1.06,0.987,75.0,84.0,105.0,0.24,3.8,691.0,14.0,736.0,170.0,0.242,0.317,0.393,0.71,1362.0,143.0,3.78,1.25,8.47,3.05,8.18,1.14,0.987,76.0,113.0,86.0,0.237,3.63,843.0,15.0
1,842.0,233.0,0.258,0.335,0.446,0.781,1336.0,136.0,3.9,1.23,8.65,3.12,7.93,1.23,0.985,88.0,151.0,130.0,0.233,3.93,993.0,11.0,682.0,179.0,0.242,0.304,0.4,0.704,1617.0,85.0,5.47,1.52,7.05,3.55,10.12,1.39,0.986,82.0,96.0,78.0,0.263,4.49,504.0,8.0
0,665.0,160.0,0.234,0.301,0.371,0.672,1506.0,106.0,4.15,1.31,8.48,3.22,8.56,1.04,0.984,91.0,65.0,88.0,0.261,4.25,553.0,11.0,660.0,135.0,0.243,0.309,0.375,0.684,1220.0,223.0,4.3,1.33,8.25,2.97,8.97,1.05,0.981,109.0,128.0,70.0,0.255,4.26,899.0,10.0
1,699.0,174.0,0.231,0.305,0.388,0.693,1459.0,207.0,4.09,1.25,8.63,3.07,8.21,1.24,0.983,96.0,144.0,92.0,0.245,4.23,923.0,10.0,676.0,185.0,0.224,0.311,0.376,0.687,1625.0,140.0,3.49,1.08,8.89,2.32,7.37,1.15,0.986,79.0,136.0,100.0,0.21,3.3,1138.0,14.0
0,637.0,150.0,0.244,0.3,0.378,0.678,1410.0,125.0,4.73,1.38,8.25,3.48,8.96,1.22,0.98,117.0,115.0,76.0,0.252,4.58,804.0,6.0,886.0,211.0,0.263,0.337,0.44,0.777,1265.0,119.0,4.62,1.35,8.19,3.0,9.15,1.13,0.989,62.0,86.0,101.0,0.258,4.35,624.0,14.0
1,784.0,198.0,0.257,0.325,0.425,0.75,1370.0,148.0,3.85,1.24,8.94,2.77,8.35,1.13,0.986,85.0,97.0,104.0,0.234,3.46,886.0,16.0,693.0,177.0,0.239,0.305,0.396,0.701,1452.0,68.0,4.1,1.3,9.01,3.3,8.41,0.96,0.985,87.0,98.0,78.0,0.248,3.86,902.0,13.0
0,786.0,235.0,0.25,0.315,0.435,0.75,1359.0,98.0,3.94,1.24,8.61,3.0,8.13,1.09,0.986,81.0,102.0,102.0,0.237,3.98,859.0,15.0,708.0,185.0,0.238,0.307,0.395,0.702,1196.0,148.0,3.61,1.2,8.89,3.1,7.71,1.13,0.985,87.0,106.0,118.0,0.234,3.58,875.0,13.0
0,604.0,147.0,0.23,0.302,0.366,0.668,1485.0,178.0,3.77,1.2,8.78,2.78,8.03,1.22,0.984,90.0,113.0,65.0,0.231,3.83,737.0,8.0,751.0,194.0,0.252,0.319,0.423,0.742,1570.0,144.0,4.04,1.26,8.38,2.86,8.44,1.17,0.981,115.0,121.0,83.0,0.251,4.41,792.0,14.0
1,815.0,237.0,0.248,0.333,0.429,0.762,1326.0,88.0,3.74,1.24,9.03,3.3,7.88,1.12,0.984,93.0,120.0,144.0,0.233,3.79,877.0,16.0,735.0,170.0,0.248,0.306,0.403,0.709,1161.0,134.0,3.76,1.24,8.44,2.97,8.21,0.92,0.985,85.0,78.0,109.0,0.241,3.42,716.0,16.0
1,671.0,156.0,0.241,0.313,0.389,0.702,1233.0,72.0,4.29,1.27,8.29,3.17,8.3,1.31,0.984,92.0,113.0,103.0,0.239,4.21,701.0,16.0,704.0,213.0,0.243,0.309,0.415,0.724,1461.0,69.0,3.49,1.2,9.68,2.8,7.96,0.94,0.988,68.0,85.0,104.0,0.243,3.85,713.0,18.0
1,742.0,183.0,0.246,0.315,0.411,0.726,1306.0,65.0,4.26,1.23,9.37,2.71,8.33,1.19,0.988,70.0,98.0,71.0,0.241,4.17,759.0,15.0,768.0,207.0,0.246,0.319,0.415,0.734,1382.0,106.0,3.96,1.26,9.08,3.66,7.69,1.03,0.984,94.0,83.0,91.0,0.215,3.48,767.0,12.0
0,507.0,133.0,0.221,0.278,0.34,0.618,1403.0,90.0,4.67,1.44,8.66,4.08,8.85,1.27,0.984,90.0,121.0,70.0,0.257,4.71,800.0,6.0,643.0,196.0,0.233,0.301,0.393,0.694,1502.0,98.0,4.37,1.33,7.91,3.32,8.68,1.06,0.985,84.0,133.0,112.0,0.252,4.17,978.0,11.0
1,777.0,177.0,0.248,0.326,0.403,0.729,1459.0,217.0,3.65,1.23,8.55,3.07,8.02,1.22,0.985,89.0,139.0,112.0,0.234,3.47,1031.0,12.0,682.0,162.0,0.234,0.3,0.385,0.685,1461.0,76.0,3.61,1.16,8.42,2.59,7.87,0.99,0.986,80.0,79.0,74.0,0.222,3.32,736.0,18.0
0,672.0,165.0,0.248,0.312,0.392,0.704,1318.0,91.0,4.04,1.26,8.15,2.83,8.5,1.08,0.987,75.0,65.0,78.0,0.228,3.84,485.0,13.0,740.0,190.0,0.262,0.322,0.418,0.74,1176.0,93.0,3.74,1.24,9.3,3.42,7.78,1.15,0.985,84.0,106.0,86.0,0.226,3.72,909.0,15.0
1,683.0,176.0,0.238,0.305,0.38,0.685,1284.0,97.0,4.35,1.3,8.64,3.34,8.34,1.25,0.987,73.0,123.0,85.0,0.231,3.92,944.0,12.0,635.0,165.0,0.229,0.301,0.369,0.67,1416.0,133.0,4.56,1.35,7.87,3.78,8.35,1.27,0.983,97.0,145.0,77.0,0.243,4.57,951.0,10.0
0,760.0,190.0,0.263,0.324,0.42,0.744,1077.0,120.0,3.86,1.22,9.09,2.89,8.1,1.06,0.987,75.0,84.0,105.0,0.24,3.8,691.0,14.0,736.0,170.0,0.242,0.317,0.393,0.71,1362.0,143.0,3.78,1.25,8.47,3.05,8.18,1.14,0.987,76.0,113.0,86.0,0.237,3.63,843.0,15.0
1,842.0,233.0,0.258,0.335,0.446,0.781,1336.0,136.0,3.9,1.23,8.65,3.12,7.93,1.23,0.985,88.0,151.0,130.0,0.233,3.93,993.0,11.0,682.0,179.0,0.242,0.304,0.4,0.704,1617.0,85.0,5.47,1.52,7.05,3.55,10.12,1.39,0.986,82.0,96.0,78.0,0.263,4.49,504.0,8.0
1,671.0,156.0,0.241,0.313,0.389,0.702,1233.0,72.0,4.29,1.27,8.29,3.17,8.3,1.31,0.984,92.0,113.0,103.0,0.239,4.21,701.0,16.0,704.0,213.0,0.243,0.309,0.415,0.724,1461.0,69.0,3.49,1.2,9.68,2.8,7.96,0.94,0.988,68.0,85.0,104.0,0.243,3.85,713.0,18.0
1,742.0,183.0,0.246,0.315,0.411,0.726,1306.0,65.0,4.26,1.23,9.37,2.71,8.33,1.19,0.988,70.0,98.0,71.0,0.241,4.17,759.0,15.0,768.0,207.0,0.246,0.319,0.415,0.734,1382.0,106.0,3.96,1.26,9.08,3.66,7.69,1.03,0.984,94.0,83.0,91.0,0.215,3.48,767.0,12.0
1,777.0,177.0,0.248,0.326,0.403,0.729,1459.0,217.0,3.65,1.23,8.55,3.07,8.02,1.22,0.985,89.0,139.0,112.0,0.234,3.47,1031.0,12.0,682.0,162.0,0.234,0.3,0.385,0.685,1461.0,76.0,3.61,1.16,8.42,2.59,7.87,0.99,0.986,80.0,79.0,74.0,0.222,3.32,736.0,18.0
1,672.0,165.0,0.248,0.312,0.392,0.704,1318.0,91.0,4.04,1.26,8.15,2.83,8.5,1.08,0.987,75.0,65.0,78.0,0.228,3.84,485.0,13.0,740.0,190.0,0.262,0.322,0.418,0.74,1176.0,93.0,3.74,1.24,9.3,3.42,7.78,1.15,0.985,84.0,106.0,86.0,0.226,3.72,909.0,15.0
1,760.0,190.0,0.263,0.324,0.42,0.744,1077.0,120.0,3.86,1.22,9.09,2.89,8.1,1.06,0.987,75.0,84.0,105.0,0.24,3.8,691.0,14.0,736.0,170.0,0.242,0.317,0.393,0.71,1362.0,143.0,3.78,1.25,8.47,3.05,8.18,1.14,0.987,76.0,113.0,86.0,0.237,3.63,843.0,15.0
1,786.0,235.0,0.25,0.315,0.435,0.75,1359.0,98.0,3.94,1.24,8.61,3.0,8.13,1.09,0.986,81.0,102.0,102.0,0.237,3.98,859.0,15.0,708.0,185.0,0.238,0.307,0.395,0.702,1196.0,148.0,3.61,1.2,8.89,3.1,7.71,1.13,0.985,87.0,106.0,118.0,0.234,3.58,875.0,13.0
1,665.0,160.0,0.234,0.301,0.371,0.672,1506.0,106.0,4.15,1.31,8.48,3.22,8.56,1.04,0.984,91.0,65.0,88.0,0.261,4.25,553.0,11.0,660.0,135.0,0.243,0.309,0.375,0.684,1220.0,223.0,4.3,1.33,8.25,2.97,8.97,1.05,0.981,109.0,128.0,70.0,0.255,4.26,899.0,10.0
0,699.0,174.0,0.231,0.305,0.388,0.693,1459.0,207.0,4.09,1.25,8.63,3.07,8.21,1.24,0.983,96.0,144.0,92.0,0.245,4.23,923.0,10.0,676.0,185.0,0.224,0.311,0.376,0.687,1625.0,140.0,3.49,1.08,8.89,2.32,7.37,1.15,0.986,79.0,136.0,100.0,0.21,3.3,1138.0,14.0
0,637.0,150.0,0.244,0.3,0.378,0.678,1410.0,125.0,4.73,1.38,8.25,3.48,8.96,1.22,0.98,117.0,115.0,76.0,0.252,4.58,804.0,6.0,886.0,211.0,0.263,0.337,0.44,0.777,1265.0,119.0,4.62,1.35,8.19,3.0,9.15,1.13,0.989,62.0,86.0,101.0,0.258,4.35,624.0,14.0
0,784.0,198.0,0.257,0.325,0.425,0.75,1370.0,148.0,3.85,1.24,8.94,2.77,8.35,1.13,0.986,85.0,97.0,104.0,0.234,3.46,886.0,16.0,693.0,177.0,0.239,0.305,0.396,0.701,1452.0,68.0,4.1,1.3,9.01,3.3,8.41,0.96,0.985,87.0,98.0,78.0,0.248,3.86,902.0,13.0
0,604.0,147.0,0.23,0.302,0.366,0.668,1485.0,178.0,3.77,1.2,8.78,2.78,8.03,1.22,0.984,90.0,113.0,65.0,0.231,3.83,737.0,8.0,751.0,194.0,0.252,0.319,0.423,0.742,1570.0,144.0,4.04,1.26,8.38,2.86,8.44,1.17,0.981,115.0,121.0,83.0,0.251,4.41,792.0,14.0
1,815.0,237.0,0.248,0.333,0.429,0.762,1326.0,88.0,3.74,1.24,9.03,3.3,7.88,1.12,0.984,93.0,120.0,144.0,0.233,3.79,877.0,16.0,735.0,170.0,0.248,0.306,0.403,0.709,1161.0,134.0,3.76,1.24,8.44,2.97,8.21,0.92,0.985,85.0,78.0,109.0,0.241,3.42,716.0,16.0
0,507.0,133.0,0.221,0.278,0.34,0.618,1403.0,90.0,4.67,1.44,8.66,4.08,8.85,1.27,0.984,90.0,121.0,70.0,0.257,4.71,800.0,6.0,643.0,196.0,0.233,0.301,0.393,0.694,1502.0,98.0,4.37,1.33,7.91,3.32,8.68,1.06,0.985,84.0,133.0,112.0,0.252,4.17,978.0,11.0
1,683.0,176.0,0.238,0.305,0.38,0.685,1284.0,97.0,4.35,1.3,8.64,3.34,8.34,1.25,0.987,73.0,123.0,85.0,0.231,3.92,944.0,12.0,635.0,165.0,0.229,0.301,0.369,0.67,1416.0,133.0,4.56,1.35,7.87,3.78,8.35,1.27,0.983,97.0,145.0,77.0,0.243,4.57,951.0,10.0
1,842.0,233.0,0.258,0.335,0.446,0.781,1336.0,136.0,3.9,1.23,8.65,3.12,7.93,1.23,0.985,88.0,151.0,130.0,0.233,3.93,993.0,11.0,682.0,179.0,0.242,0.304,0.4,0.704,1617.0,85.0,5.47,1.52,7.05,3.55,10.12,1.39,0.986,82.0,96.0,78.0,0.263,4.49,504.0,8.0
0,637.0,150.0,0.244,0.3,0.378,0.678,1410.0,125.0,4.73,1.38,8.25,3.48,8.96,1.22,0.98,117.0,115.0,76.0,0.252,4.58,804.0,6.0,886.0,211.0,0.263,0.337,0.44,0.777,1265.0,119.0,4.62,1.35,8.19,3.0,9.15,1.13,0.989,62.0,86.0,101.0,0.258,4.35,624.0,14.0
1,665.0,160.0,0.234,0.301,0.371,0.672,1506.0,106.0,4.15,1.31,8.48,3.22,8.56,1.04,0.984,91.0,65.0,88.0,0.261,4.25,553.0,11.0,660.0,135.0,0.243,0.309,0.375,0.684,1220.0,223.0,4.3,1.33,8.25,2.97,8.97,1.05,0.981,109.0,128.0,70.0,0.255,4.26,899.0,10.0
0,699.0,174.0,0.231,0.305,0.388,0.693,1459.0,207.0,4.09,1.25,8.63,3.07,8.21,1.24,0.983,96.0,144.0,92.0,0.245,4.23,923.0,10.0,676.0,185.0,0.224,0.311,0.376,0.687,1625.0,140.0,3.49,1.08,8.89,2.32,7.37,1.15,0.986,79.0,136.0,100.0,0.21,3.3,1138.0,14.0
0,507.0,133.0,0.221,0.278,0.34,0.618,1403.0,90.0,4.67,1.44,8.66,4.08,8.85,1.27,0.984,90.0,121.0,70.0,0.257,4.71,800.0,6.0,643.0,196.0,0.233,0.301,0.393,0.694,1502.0,98.0,4.37,1.33,7.91,3.32,8.68,1.06,0.985,84.0,133.0,112.0,0.252,4.17,978.0,11.0
1,784.0,198.0,0.257,0.325,0.425,0.75,1370.0,148.0,3.85,1.24,8.94,2.77,8.35,1.13,0.986,85.0,97.0,104.0,0.234,3.46,886.0,16.0,693.0,177.0,0.239,0.305,0.396,0.701,1452.0,68.0,4.1,1.3,9.01,3.3,8.41,0.96,0.985,87.0,98.0,78.0,0.248,3.86,902.0,13.0
1,786.0,235.0,0.25,0.315,0.435,0.75,1359.0,98.0,3.94,1.24,8.61,3.0,8.13,1.09,0.986,81.0,102.0,102.0,0.237,3.98,859.0,15.0,708.0,185.0,0.238,0.307,0.395,0.702,1196.0,148.0,3.61,1.2,8.89,3.1,7.71,1.13,0.985,87.0,106.0,118.0,0.234,3.58,875.0,13.0
1,682.0,162.0,0.234,0.3,0.385,0.685,1461.0,76.0,3.61,1.16,8.42,2.59,7.87,0.99,0.986,80.0,79.0,74.0,0.222,3.32,736.0,18.0,735.0,170.0,0.248,0.306,0.403,0.709,1161.0,134.0,3.76,1.24,8.44,2.97,8.21,0.92,0.985,85.0,78.0,109.0,0.241,3.42,716.0,16.0
0,604.0,147.0,0.23,0.302,0.366,0.668,1485.0,178.0,3.77,1.2,8.78,2.78,8.03,1.22,0.984,90.0,113.0,65.0,0.231,3.83,737.0,8.0,815.0,237.0,0.248,0.333,0.429,0.762,1326.0,88.0,3.74,1.24,9.03,3.3,7.88,1.12,0.984,93.0,120.0,144.0,0.233,3.79,877.0,16.0
1,768.0,207.0,0.246,0.319,0.415,0.734,1382.0,106.0,3.96,1.26,9.08,3.66,7.69,1.03,0.984,94.0,83.0,91.0,0.215,3.48,767.0,12.0,672.0,165.0,0.248,0.312,0.392,0.704,1318.0,91.0,4.04,1.26,8.15,2.83,8.5,1.08,0.987,75.0,65.0,78.0,0.228,3.84,485.0,13.0
1,683.0,176.0,0.238,0.305,0.38,0.685,1284.0,97.0,4.35,1.3,8.64,3.34,8.34,1.25,0.987,73.0,123.0,85.0,0.231,3.92,944.0,12.0,635.0,165.0,0.229,0.301,0.369,0.67,1416.0,133.0,4.56,1.35,7.87,3.78,8.35,1.27,0.983,97.0,145.0,77.0,0.243,4.57,951.0,10.0
1,736.0,170.0,0.242,0.317,0.393,0.71,1362.0,143.0,3.78,1.25,8.47,3.05,8.18,1.14,0.987,76.0,113.0,86.0,0.237,3.63,843.0,15.0,886.0,211.0,0.263,0.337,0.44,0.777,1265.0,119.0,4.62,1.35,8.19,3.0,9.15,1.13,0.989,62.0,86.0,101.0,0.258,4.35,624.0,14.0
1,682.0,162.0,0.234,0.3,0.385,0.685,1461.0,76.0,3.61,1.16,8.42,2.59,7.87,0.99,0.986,80.0,79.0,74.0,0.222,3.32,736.0,18.0,735.0,170.0,0.248,0.306,0.403,0.709,1161.0,134.0,3.76,1.24,8.44,2.97,8.21,0.92,0.985,85.0,78.0,109.0,0.241,3.42,716.0,16.0
0,665.0,160.0,0.234,0.301,0.371,0.672,1506.0,106.0,4.15,1.31,8.48,3.22,8.56,1.04,0.984,91.0,65.0,88.0,0.261,4.25,553.0,11.0,708.0,185.0,0.238,0.307,0.395,0.702,1196.0,148.0,3.61,1.2,8.89,3.1,7.71,1.13,0.985,87.0,106.0,118.0,0.234,3.58,875.0,13.0
1,784.0,198.0,0.257,0.325,0.425,0.75,1370.0,148.0,3.85,1.24,8.94,2.77,8.35,1.13,0.986,85.0,97.0,104.0,0.234,3.46,886.0,16.0,637.0,150.0,0.244,0.3,0.378,0.678,1410.0,125.0,4.73,1.38,8.25,3.48,8.96,1.22,0.98,117.0,115.0,76.0,0.252,4.58,804.0,6.0
0,786.0,235.0,0.25,0.315,0.435,0.75,1359.0,98.0,3.94,1.24,8.61,3.0,8.13,1.09,0.986,81.0,102.0,102.0,0.237,3.98,859.0,15.0,699.0,174.0,0.231,0.305,0.388,0.693,1459.0,207.0,4.09,1.25,8.63,3.07,8.21,1.24,0.983,96.0,144.0,92.0,0.245,4.23,923.0,10.0
0,604.0,147.0,0.23,0.302,0.366,0.668,1485.0,178.0,3.77,1.2,8.78,2.78,8.03,1.22,0.984,90.0,113.0,65.0,0.231,3.83,737.0,8.0,815.0,237.0,0.248,0.333,0.429,0.762,1326.0,88.0,3.74,1.24,9.03,3.3,7.88,1.12,0.984,93.0,120.0,144.0,0.233,3.79,877.0,16.0
1,671.0,156.0,0.241,0.313,0.389,0.702,1233.0,72.0,4.29,1.27,8.29,3.17,8.3,1.31,0.984,92.0,113.0,103.0,0.239,4.21,701.0,16.0,676.0,185.0,0.224,0.311,0.376,0.687,1625.0,140.0,3.49,1.08,8.89,2.32,7.37,1.15,0.986,79.0,136.0,100.0,0.21,3.3,1138.0,14.0
1,768.0,207.0,0.246,0.319,0.415,0.734,1382.0,106.0,3.96,1.26,9.08,3.66,7.69,1.03,0.984,94.0,83.0,91.0,0.215,3.48,767.0,12.0,672.0,165.0,0.248,0.312,0.392,0.704,1318.0,91.0,4.04,1.26,8.15,2.83,8.5,1.08,0.987,75.0,65.0,78.0,0.228,3.84,485.0,13.0
1,751.0,194.0,0.252,0.319,0.423,0.742,1570.0,144.0,4.04,1.26,8.38,2.86,8.44,1.17,0.981,115.0,121.0,83.0,0.251,4.41,792.0,14.0,507.0,133.0,0.221,0.278,0.34,0.618,1403.0,90.0,4.67,1.44,8.66,4.08,8.85,1.27,0.984,90.0,121.0,70.0,0.257,4.71,800.0,6.0
1,704.0,213.0,0.243,0.309,0.415,0.724,1461.0,69.0,3.49,1.2,9.68,2.8,7.96,0.94,0.988,68.0,85.0,104.0,0.243,3.85,713.0,18.0,742.0,183.0,0.246,0.315,0.411,0.726,1306.0,65.0,4.26,1.23,9.37,2.71,8.33,1.19,0.988,70.0,98.0,71.0,0.241,4.17,759.0,15.0
0,683.0,176.0,0.238,0.305,0.38,0.685,1284.0,97.0,4.35,1.3,8.64,3.34,8.34,1.25,0.987,73.0,123.0,85.0,0.231,3.92,944.0,12.0,842.0,233.0,0.258,0.335,0.446,0.781,1336.0,136.0,3.9,1.23,8.65,3.12,7.93,1.23,0.985,88.0,151.0,130.0,0.233,3.93,993.0,11.0
1,740.0,190.0,0.262,0.322,0.418,0.74,1176.0,93.0,3.74,1.24,9.3,3.42,7.78,1.15,0.985,84.0,106.0,86.0,0.226,3.72,909.0,15.0,760.0,190.0,0.263,0.324,0.42,0.744,1077.0,120.0,3.86,1.22,9.09,2.89,8.1,1.06,0.987,75.0,84.0,105.0,0.24,3.8,691.0,14.0
1,777.0,177.0,0.248,0.326,0.403,0.729,1459.0,217.0,3.65,1.23,8.55,3.07,8.02,1.22,0.985,89.0,139.0,112.0,0.234,3.47,1031.0,12.0,643.0,196.0,0.233,0.301,0.393,0.694,1502.0,98.0,4.37,1.33,7.91,3.32,8.68,1.06,0.985,84.0,133.0,112.0,0.252,4.17,978.0,11.0
1,635.0,165.0,0.229,0.301,0.369,0.67,1416.0,133.0,4.56,1.35,7.87,3.78,8.35,1.27,0.983,97.0,145.0,77.0,0.243,4.57,951.0,10.0,693.0,177.0,0.239,0.305,0.396,0.701,1452.0,68.0,4.1,1.3,9.01,3.3,8.41,0.96,0.985,87.0,98.0,78.0,0.248,3.86,902.0,13.0
1,784.0,198.0,0.257,0.325,0.425,0.75,1370.0,148.0,3.85,1.24,8.94,2.77,8.35,1.13,0.986,85.0,97.0,104.0,0.234,3.46,886.0,16.0,637.0,150.0,0.244,0.3,0.378,0.678,1410.0,125.0,4.73,1.38,8.25,3.48,8.96,1.22,0.98,117.0,115.0,76.0,0.252,4.58,804.0,6.0
1,682.0,162.0,0.234,0.3,0.385,0.685,1461.0,76.0,3.61,1.16,8.42,2.59,7.87,0.99,0.986,80.0,79.0,74.0,0.222,3.32,736.0,18.0,735.0,170.0,0.248,0.306,0.403,0.709,1161.0,134.0,3.76,1.24,8.44,2.97,8.21,0.92,0.985,85.0,78.0,109.0,0.241,3.42,716.0,16.0
1,736.0,170.0,0.242,0.317,0.393,0.71,1362.0,143.0,3.78,1.25,8.47,3.05,8.18,1.14,0.987,76.0,113.0,86.0,0.237,3.63,843.0,15.0,886.0,211.0,0.263,0.337,0.44,0.777,1265.0,119.0,4.62,1.35,8.19,3.0,9.15,1.13,0.989,62.0,86.0,101.0,0.258,4.35,624.0,14.0
0,671.0,156.0,0.241,0.313,0.389,0.702,1233.0,72.0,4.29,1.27,8.29,3.17,8.3,1.31,0.984,92.0,113.0,103.0,0.239,4.21,701.0,16.0,676.0,185.0,0.224,0.311,0.376,0.687,1625.0,140.0,3.49,1.08,8.89,2.32,7.37,1.15,0.986,79.0,136.0,100.0,0.21,3.3,1138.0,14.0
1,786.0,235.0,0.25,0.315,0.435,0.75,1359.0,98.0,3.94,1.24,8.61,3.0,8.13,1.09,0.986,81.0,102.0,102.0,0.237,3.98,859.0,15.0,699.0,174.0,0.231,0.305,0.388,0.693,1459.0,207.0,4.09,1.25,8.63,3.07,8.21,1.24,0.983,96.0,144.0,92.0,0.245,4.23,923.0,10.0
0,665.0,160.0,0.234,0.301,0.371,0.672,1506.0,106.0,4.15,1.31,8.48,3.22,8.56,1.04,0.984,91.0,65.0,88.0,0.261,4.25,553.0,11.0,708.0,185.0,0.238,0.307,0.395,0.702,1196.0,148.0,3.61,1.2,8.89,3.1,7.71,1.13,0.985,87.0,106.0,118.0,0.234,3.58,875.0,13.0
1,768.0,207.0,0.246,0.319,0.415,0.734,1382.0,106.0,3.96,1.26,9.08,3.66,7.69,1.03,0.984,94.0,83.0,91.0,0.215,3.48,767.0,12.0,672.0,165.0,0.248,0.312,0.392,0.704,1318.0,91.0,4.04,1.26,8.15,2.83,8.5,1.08,0.987,75.0,65.0,78.0,0.228,3.84,485.0,13.0
1,683.0,176.0,0.238,0.305,0.38,0.685,1284.0,97.0,4.35,1.3,8.64,3.34,8.34,1.25,0.987,73.0,123.0,85.0,0.231,3.92,944.0,12.0,842.0,233.0,0.258,0.335,0.446,0.781,1336.0,136.0,3.9,1.23,8.65,3.12,7.93,1.23,0.985,88.0,151.0,130.0,0.233,3.93,993.0,11.0
0,682.0,179.0,0.242,0.304,0.4,0.704,1617.0,85.0,5.47,1.52,7.05,3.55,10.12,1.39,0.986,82.0,96.0,78.0,0.263,4.49,504.0,8.0,660.0,135.0,0.243,0.309,0.375,0.684,1220.0,223.0,4.3,1.33,8.25,2.97,8.97,1.05,0.981,109.0,128.0,70.0,0.255,4.26,899.0,10.0
1,751.0,194.0,0.252,0.319,0.423,0.742,1570.0,144.0,4.04,1.26,8.38,2.86,8.44,1.17,0.981,115.0,121.0,83.0,0.251,4.41,792.0,14.0,507.0,133.0,0.221,0.278,0.34,0.618,1403.0,90.0,4.67,1.44,8.66,4.08,8.85,1.27,0.984,90.0,121.0,70.0,0.257,4.71,800.0,6.0
1,604.0,147.0,0.23,0.302,0.366,0.668,1485.0,178.0,3.77,1.2,8.78,2.78,8.03,1.22,0.984,90.0,113.0,65.0,0.231,3.83,737.0,8.0,815.0,237.0,0.248,0.333,0.429,0.762,1326.0,88.0,3.74,1.24,9.03,3.3,7.88,1.12,0.984,93.0,120.0,144.0,0.233,3.79,877.0,16.0
1,740.0,190.0,0.262,0.322,0.418,0.74,1176.0,93.0,3.74,1.24,9.3,3.42,7.78,1.15,0.985,84.0,106.0,86.0,0.226,3.72,909.0,15.0,760.0,190.0,0.263,0.324,0.42,0.744,1077.0,120.0,3.86,1.22,9.09,2.89,8.1,1.06,0.987,75.0,84.0,105.0,0.24,3.8,691.0,14.0
